period,segment,reported_segment_label,sales_usd,operating_profit_usd,operating_margin_pct,filing_period,filing_date,source_url,source_path,source_sha256,table_index,reported_basis,history_authority
2019Q4,ingalls_shipbuilding,Ingalls,702000000.0,59000000.0,8.404558404558404,2019Q4,2020-02-13,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000007/hii2019q4earningsrelea.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2020-02-13_0001501585-20-000007_EX-99.1_hii2019q4earningsrelea.htm,cae351c3faa0e1d8c685654fef0defdbfd3a64cb4a4f06a9863cbb955abcced5,9,AS_REPORTED_CURRENT_PIT,AS_REPORTED_PIT_HISTORY
2019Q4,mission_technologies,Technical Solutions,369000000.0,-19000000.0,-5.149051490514905,2019Q4,2020-02-13,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000007/hii2019q4earningsrelea.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2020-02-13_0001501585-20-000007_EX-99.1_hii2019q4earningsrelea.htm,cae351c3faa0e1d8c685654fef0defdbfd3a64cb4a4f06a9863cbb955abcced5,9,AS_REPORTED_CURRENT_PIT,AS_REPORTED_PIT_HISTORY
2019Q4,newport_news_shipbuilding,Newport News,1390000000.0,133000000.0,9.568345323741006,2019Q4,2020-02-13,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000007/hii2019q4earningsrelea.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2020-02-13_0001501585-20-000007_EX-99.1_hii2019q4earningsrelea.htm,cae351c3faa0e1d8c685654fef0defdbfd3a64cb4a4f06a9863cbb955abcced5,9,AS_REPORTED_CURRENT_PIT,AS_REPORTED_PIT_HISTORY
2020Q1,ingalls_shipbuilding,Ingalls,629000000.0,68000000.0,10.81081081081081,2020Q1,2020-05-07,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000015/hii2020q1earningsrelea.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2020-05-07_0001501585-20-000015_EX-99.1_hii2020q1earningsrelea.htm,8cbec95b134fed5883b1a2f67cb80e69eb3eafb726afa3589c9c7d57ed4aa326,11,AS_REPORTED_CURRENT_PIT,AS_REPORTED_PIT_HISTORY
2020Q1,mission_technologies,Technical Solutions,317000000.0,-7000000.0,-2.2082018927444795,2020Q1,2020-05-07,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000015/hii2020q1earningsrelea.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2020-05-07_0001501585-20-000015_EX-99.1_hii2020q1earningsrelea.htm,8cbec95b134fed5883b1a2f67cb80e69eb3eafb726afa3589c9c7d57ed4aa326,11,AS_REPORTED_CURRENT_PIT,AS_REPORTED_PIT_HISTORY
2020Q1,newport_news_shipbuilding,Newport News,1341000000.0,95000000.0,7.084265473527218,2020Q1,2020-05-07,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000015/hii2020q1earningsrelea.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2020-05-07_0001501585-20-000015_EX-99.1_hii2020q1earningsrelea.htm,8cbec95b134fed5883b1a2f67cb80e69eb3eafb726afa3589c9c7d57ed4aa326,11,AS_REPORTED_CURRENT_PIT,AS_REPORTED_PIT_HISTORY
2020Q2,ingalls_shipbuilding,Ingalls,622000000.0,55000000.0,8.842443729903538,2020Q2,2020-08-06,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000032/hii2020q2earningsrelea.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2020-08-06_0001501585-20-000032_EX-99.1_hii2020q2earningsrelea.htm,4124e803c495e72bd1ddb19072d1fec6c814856bbf1aea5563d0c649778c6a00,11,AS_REPORTED_CURRENT_PIT,AS_REPORTED_PIT_HISTORY
2020Q2,mission_technologies,Technical Solutions,320000000.0,9000000.0,2.8125,2020Q2,2020-08-06,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000032/hii2020q2earningsrelea.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2020-08-06_0001501585-20-000032_EX-99.1_hii2020q2earningsrelea.htm,4124e803c495e72bd1ddb19072d1fec6c814856bbf1aea5563d0c649778c6a00,11,AS_REPORTED_CURRENT_PIT,AS_REPORTED_PIT_HISTORY
2020Q2,newport_news_shipbuilding,Newport News,1122000000.0,-69000000.0,-6.149732620320856,2020Q2,2020-08-06,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000032/hii2020q2earningsrelea.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2020-08-06_0001501585-20-000032_EX-99.1_hii2020q2earningsrelea.htm,4124e803c495e72bd1ddb19072d1fec6c814856bbf1aea5563d0c649778c6a00,11,AS_REPORTED_CURRENT_PIT,AS_REPORTED_PIT_HISTORY
2020Q3,ingalls_shipbuilding,Ingalls,675000000.0,62000000.0,9.185185185185185,2020Q3,2020-11-05,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000039/hiiq32020earningsrelea.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2020-11-05_0001501585-20-000039_EX-99.1_hiiq32020earningsrelea.htm,4a351d0d12da955e03b25847fdd33034597b7f607cf7f1f9c18751473a6b72e7,11,AS_REPORTED_CURRENT_PIT,AS_REPORTED_PIT_HISTORY
2020Q3,mission_technologies,Technical Solutions,320000000.0,21000000.0,6.5625,2020Q3,2020-11-05,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000039/hiiq32020earningsrelea.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2020-11-05_0001501585-20-000039_EX-99.1_hiiq32020earningsrelea.htm,4a351d0d12da955e03b25847fdd33034597b7f607cf7f1f9c18751473a6b72e7,11,AS_REPORTED_CURRENT_PIT,AS_REPORTED_PIT_HISTORY
2020Q3,newport_news_shipbuilding,Newport News,1358000000.0,79000000.0,5.817378497790869,2020Q3,2020-11-05,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000039/hiiq32020earningsrelea.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2020-11-05_0001501585-20-000039_EX-99.1_hiiq32020earningsrelea.htm,4a351d0d12da955e03b25847fdd33034597b7f607cf7f1f9c18751473a6b72e7,11,AS_REPORTED_CURRENT_PIT,AS_REPORTED_PIT_HISTORY
2020Q4,ingalls_shipbuilding,Ingalls,752000000.0,96000000.0,12.76595744680851,2020Q4,2021-02-11,https://www.sec.gov/Archives/edgar/data/1501585/000150158521000003/hiiq42020earningsrelease.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2021-02-11_0001501585-21-000003_EX-99.1_hiiq42020earningsrelease.htm,ce9d0413699ea40a04ede23ee92ff51c1fd9ff3fab0de6da2aec4c3e0dace6d4,11,AS_REPORTED_CURRENT_PIT,AS_REPORTED_PIT_HISTORY
2020Q4,mission_technologies,Technical Solutions,311000000.0,18000000.0,5.787781350482315,2020Q4,2021-02-11,https://www.sec.gov/Archives/edgar/data/1501585/000150158521000003/hiiq42020earningsrelease.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2021-02-11_0001501585-21-000003_EX-99.1_hiiq42020earningsrelease.htm,ce9d0413699ea40a04ede23ee92ff51c1fd9ff3fab0de6da2aec4c3e0dace6d4,11,AS_REPORTED_CURRENT_PIT,AS_REPORTED_PIT_HISTORY
2020Q4,newport_news_shipbuilding,Newport News,1750000000.0,128000000.0,7.314285714285715,2020Q4,2021-02-11,https://www.sec.gov/Archives/edgar/data/1501585/000150158521000003/hiiq42020earningsrelease.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2021-02-11_0001501585-21-000003_EX-99.1_hiiq42020earningsrelease.htm,ce9d0413699ea40a04ede23ee92ff51c1fd9ff3fab0de6da2aec4c3e0dace6d4,11,AS_REPORTED_CURRENT_PIT,AS_REPORTED_PIT_HISTORY
