period,segment,reported_segment_label,sales_usd,operating_profit_usd,operating_margin_pct,filing_period,filing_date,source_url,source_path,source_sha256,table_index,reported_basis,history_authority,reported_ttm_margin_pct,net_cumulative_catchup_adjustment_usd,catchup_neutral_operating_profit_usd,catchup_neutral_ttm_margin_pct
2020Q3,ingalls_shipbuilding,Ingalls,675000000.0,62000000.0,9.185185185185183,2020Q3,2020-11-05,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000039/hiiq32020earningsrelea.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2020-11-05_0001501585-20-000039_EX-99.1_hiiq32020earningsrelea.htm,4a351d0d12da955e03b25847fdd33034597b7f607cf7f1f9c18751473a6b72e7,11,AS_REPORTED_CURRENT_PIT,AS_REPORTED_PIT_HISTORY,9.28462709284627,,,
2020Q4,ingalls_shipbuilding,Ingalls,752000000.0,96000000.0,12.76595744680851,2020Q4,2021-02-11,https://www.sec.gov/Archives/edgar/data/1501585/000150158521000003/hiiq42020earningsrelease.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2021-02-11_0001501585-21-000003_EX-99.1_hiiq42020earningsrelease.htm,ce9d0413699ea40a04ede23ee92ff51c1fd9ff3fab0de6da2aec4c3e0dace6d4,11,AS_REPORTED_CURRENT_PIT,AS_REPORTED_PIT_HISTORY,10.492905153099327,,,
2021Q1,ingalls_shipbuilding,Ingalls,649000000.0,91000000.0,14.021571648690292,2021Q1,2021-05-06,https://www.sec.gov/Archives/edgar/data/1501585/000150158521000014/hii2021q1earningsrelease.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2021-05-06_0001501585-21-000014_EX-99.1_hii2021q1earningsrelease.htm,c2bf1d6afa665ab9e6e6331de0a1728b72b773eece4ca1a3d987833c6a8eaf49,10,AS_REPORTED_CURRENT_PIT,AS_REPORTED_PIT_HISTORY,11.267605633802818,,,
2021Q2,ingalls_shipbuilding,Ingalls,670000000.0,80000000.0,11.940298507462686,2021Q2,2021-08-05,https://www.sec.gov/Archives/edgar/data/1501585/000150158521000027/hii2021q2earningsrelease.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2021-08-05_0001501585-21-000027_EX-99.1_hii2021q2earningsrelease.htm,497a2b73a082c8eca48684484f43c0883682822d39ac284c3f23da38201746c4,10,AS_REPORTED_CURRENT_PIT,AS_REPORTED_PIT_HISTORY,11.981063364894391,,,
2021Q3,ingalls_shipbuilding,Ingalls,628000000.0,62000000.0,9.872611464968154,2021Q3,2021-11-04,https://www.sec.gov/Archives/edgar/data/1501585/000150158521000034/hii2021q3earningsrelease.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2021-11-04_0001501585-21-000034_EX-99.1_hii2021q3earningsrelease.htm,7e596583de14f1b5e1714e6176197d0f6f5fbf58b634622f53e603a1aa20bde1,11,AS_REPORTED_CURRENT_PIT,AS_REPORTED_PIT_HISTORY,12.189699888847722,,,
2021Q4,ingalls_shipbuilding,Ingalls,581000000.0,48000000.0,8.261617900172118,2021Q4,2022-02-10,https://www.sec.gov/Archives/edgar/data/1501585/000150158522000004/hii2021q4earningsrelease.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2022-02-10_0001501585-22-000004_EX-99.1_hii2021q4earningsrelease.htm,16806c4afb800a60874caa081d378f70c373d51d373314c5a054e72df708bb6b,11,AS_REPORTED_CURRENT_PIT,AS_REPORTED_PIT_HISTORY,11.115506329113924,,,
2022Q1,ingalls_shipbuilding,Ingalls,631000000.0,86000000.0,13.629160063391444,2022Q1,2022-05-05,https://www.sec.gov/Archives/edgar/data/1501585/000150158522000011/hii2022q1earningsrelease.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2022-05-05_0001501585-22-000011_EX-99.1_hii2022q1earningsrelease.htm,f9a87909fbf6691bb78f3353e1e8bdb076c53cb71ed7ab3bc1a84cfa2dca4e44,11,AS_REPORTED_CURRENT_PIT,AS_REPORTED_PIT_HISTORY,10.99601593625498,,,
2022Q2,ingalls_shipbuilding,Ingalls,658000000.0,106000000.0,16.109422492401215,2022Q2,2022-08-04,https://www.sec.gov/Archives/edgar/data/1501585/000150158522000024/hii2022q2earningsrelease.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2022-08-04_0001501585-22-000024_EX-99.1_hii2022q2earningsrelease.htm,8f89ec6976a19d4a076a8216abf0e05c0b745079390fcfc2c79da69ee7be077e,11,AS_REPORTED_CURRENT_PIT,AS_REPORTED_PIT_HISTORY,12.089671737389912,,,
2022Q3,ingalls_shipbuilding,Ingalls,623000000.0,50000000.0,8.025682182985554,2022Q3,2022-11-03,https://www.sec.gov/Archives/edgar/data/1501585/000150158522000032/hii2022q3earningsrelease.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2022-11-03_0001501585-22-000032_EX-99.1_hii2022q3earningsrelease.htm,5eb713a93b11d939105c5d3e2a38b1fc207a7e0e6280d6d7c2e92b05e9914a40,9,AS_REPORTED_CURRENT_PIT,AS_REPORTED_PIT_HISTORY,11.632571199358203,,,
2022Q4,ingalls_shipbuilding,Ingalls,658000000.0,50000000.0,7.598784194528875,2022Q4,2023-02-09,https://www.sec.gov/Archives/edgar/data/1501585/000150158523000007/hii2022q4earningsrelease.htm,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\HII\2023-02-09_0001501585-23-000007_EX-99.1_hii2022q4earningsrelease.htm,01d4fcdac111828bf23b354aac3c9175125409f4943b5ac3a256a3ca46219513,9,AS_REPORTED_CURRENT_PIT,AS_REPORTED_PIT_HISTORY,11.361867704280156,,,
