sector,subindustry,sensor_id,source,dataset,raw_series,pqci_dimension,economic_role,lead_months,grade,direction,weight,target,transformation,availability_status
Energy,oil_ep,wti_price,EIA,wti_spot_price,WTI,P,COINCIDENT,0,A,1,0.5,realized_price,quarter_average_yoy,AVAILABLE_ARCANA
Energy,oil_ep,crude_production,EIA,crude_oil_production,US_CRUDE,Q,COINCIDENT,0,A,1,0.5,production,quarter_average_yoy,AVAILABLE_ARCANA
Energy,oil_ep,rig_count,FRED,baker_hughes_rig_count,RIGS,Q,LEADING,3,B,1,0.3,production,three_month_momentum,SOURCE_AVAILABLE_NOT_INGESTED
Energy,refining,refinery_utilization,EIA,refinery_utilization,US_REFINERY_UTILIZATION,Q,COINCIDENT,0,A,1,0.5,throughput,quarter_average_yoy,AVAILABLE_ARCANA
Energy,refining,crack_spread,EIA,petroleum_prices,GASOLINE_MINUS_WTI,P,COINCIDENT,0,B,1,0.5,refining_margin,quarter_average_yoy,SOURCE_AVAILABLE_NOT_INGESTED
Utilities,electric_utilities,electricity_sales,EIA,electricity_sales,RETAIL_MWH,Q,COINCIDENT,0,A,1,0.5,revenue,quarter_average_yoy,AVAILABLE_ARCANA
Utilities,electric_utilities,electricity_price,EIA,electricity_price,RETAIL_PRICE_KWH,P,COINCIDENT,0,A,1,0.5,revenue,quarter_average_yoy,AVAILABLE_ARCANA
Financials,banks,loan_growth,FDIC,quarterly_bank_financials,LNLSNET,Q,COINCIDENT,0,A,1,0.3,net_interest_income,quarter_yoy,AVAILABLE_ARCANA
Financials,banks,net_interest_margin,FDIC,quarterly_bank_financials,NIMY,P,COINCIDENT,0,A,1,0.4,net_interest_income,level_change,AVAILABLE_ARCANA
Financials,banks,credit_cost,FDIC,quarterly_bank_financials,NTLNLSR,C,LAGGING,0,A,-1,0.3,roe,quarter_yoy,AVAILABLE_ARCANA
Financials,credit_cards,retail_sales,Census,advance_retail_sales,TOTAL_RETAIL,Q,COINCIDENT,0,B,1,0.5,purchase_volume,ytd_yoy,AVAILABLE_ARCANA
Financials,credit_cards,unemployment,BLS,price_labor_activity,LNS14000000,C,LEADING,3,B,-1,0.5,credit_loss,level_change,AVAILABLE_ARCANA
Consumer Discretionary,homebuilders,building_permits,Census,residential_construction,PERMITS,Q,LEADING,6,A,1,0.3,closings,three_month_momentum,AVAILABLE_ARCANA
Consumer Discretionary,homebuilders,housing_starts,Census,residential_construction,STARTS,Q,LEADING,3,A,1,0.3,closings,three_month_momentum,AVAILABLE_ARCANA
Consumer Discretionary,homebuilders,new_home_sales,Census,new_residential_sales,SALES,Q,COINCIDENT,0,A,1,0.2,closings,ytd_yoy,AVAILABLE_ARCANA
Consumer Discretionary,homebuilders,house_price,FHFA,hpi_master,US_HPI,P,COINCIDENT,0,A,1,0.2,asp,quarter_yoy,AVAILABLE_ARCANA
Consumer Discretionary,autos,new_vehicle_price,BLS,price_labor_activity,CUUR0000SETA01,P,COINCIDENT,0,B,1,0.4,asp,ytd_yoy,AVAILABLE_ARCANA
Consumer Discretionary,autos,vehicle_shipments,Census,manufacturing_orders_shipments_inventories,36S:VS,Q,COINCIDENT,0,B,1,0.4,units,ytd_yoy,AVAILABLE_ARCANA
Consumer Discretionary,autos,vehicle_orders,Census,manufacturing_orders_shipments_inventories,36S:NO,Q,LEADING,3,B,1,0.2,units,three_month_momentum,AVAILABLE_ARCANA
Industrials,airlines,passenger_miles,BTS,form_41,RPM,Q,COINCIDENT,0,A,1,0.4,revenue,same_period_yoy,SOURCE_AVAILABLE_NOT_INGESTED
Industrials,airlines,available_seat_miles,BTS,form_41,ASM,I,COINCIDENT,0,A,1,0.2,capacity,same_period_yoy,SOURCE_AVAILABLE_NOT_INGESTED
Industrials,airlines,average_fare,BTS,form_41,AVERAGE_FARE,P,COINCIDENT,0,A,1,0.2,yield,same_period_yoy,SOURCE_AVAILABLE_NOT_INGESTED
Industrials,airlines,jet_fuel,EIA,petroleum_prices,JET_FUEL,C,COINCIDENT,0,A,-1,0.2,margin,quarter_average_yoy,SOURCE_AVAILABLE_NOT_INGESTED
Industrials,freight,freight_tsi,BTS,transportation_services_index,FREIGHT_TSI,Q,COINCIDENT,0,A,1,0.5,shipments,three_month_momentum,SOURCE_AVAILABLE_NOT_INGESTED
Industrials,freight,diesel_price,EIA,petroleum_prices,DIESEL,C,COINCIDENT,0,A,-1,0.25,margin,quarter_average_yoy,SOURCE_AVAILABLE_NOT_INGESTED
Industrials,freight,freight_rate,BLS,producer_price_index,TRUCKING_PPI,P,COINCIDENT,0,B,1,0.25,yield,ytd_yoy,SOURCE_AVAILABLE_NOT_INGESTED
Industrials,machinery,new_orders,Census,manufacturing_orders_shipments_inventories,33C|33D|33S:NO,Q,LEADING,6,B,1,0.25,revenue_growth,ytd_yoy,AVAILABLE_ARCANA
