ticker,source_kind,source_path,source_sha256,available_at,evidence_table,audited_quarterly_observations,manifest_policy
AR,SEC_COMPANYFACTS,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0001433270.json,59e0ba62b9c9a6efd4adcf0d7a19b0181f129ffa0a476b67ec82c9debc56b8d0,2026-04-29T20:19:02+00:00,output/v3_5_1_audit_only/companyfacts_quarterly_revenue.csv,33,EXPLICIT_PATH_AND_CONTENT_HASH_FAIL_CLOSED
CNX,SEC_COMPANYFACTS,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0001070412.json,526b208548ea5166c42c76065023719d38bb4e1da7009e931d2c15c458c53a6e,2026-04-30T16:49:48+00:00,output/v3_5_1_audit_only/companyfacts_quarterly_revenue.csv,67,EXPLICIT_PATH_AND_CONTENT_HASH_FAIL_CLOSED
COP,SEC_COMPANYFACTS,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0001163165.json,a010737221b1986259d42327a966a311a8f61f3feaf80e5f587f5d0e6f47e440,2026-06-30T20:44:18+00:00,output/v3_5_1_audit_only/companyfacts_quarterly_revenue.csv,33,EXPLICIT_PATH_AND_CONTENT_HASH_FAIL_CLOSED
DVN,SEC_COMPANYFACTS,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0001090012.json,e6280636d7b94818d806286beed498d947d8051af993176dd78a920228ea5337,2026-06-05T21:07:59+00:00,output/v3_5_1_audit_only/companyfacts_quarterly_revenue.csv,30,EXPLICIT_PATH_AND_CONTENT_HASH_FAIL_CLOSED
EOG,SEC_COMPANYFACTS,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0000821189.json,c0bec496669a6714cd112343e24e33b7e512b5c27efb790410d203bcc4829ee4,2026-05-05T20:26:34+00:00,output/v3_5_1_audit_only/companyfacts_quarterly_revenue.csv,65,EXPLICIT_PATH_AND_CONTENT_HASH_FAIL_CLOSED
EQT,SEC_COMPANYFACTS,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0000033213.json,20fd9099a64d0019c0b280e1c194a04bdcc1b1e5f8b28d9295d1840544a16808,2026-05-28T20:12:13+00:00,output/v3_5_1_audit_only/companyfacts_quarterly_revenue.csv,33,EXPLICIT_PATH_AND_CONTENT_HASH_FAIL_CLOSED
FANG,SEC_COMPANYFACTS,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0001539838.json,4d621e930d028b5cb23c1ca6eb77e7095ecbd4ee60d9f351689887e7c80f7cc4,2026-05-06T20:13:16+00:00,output/v3_5_1_audit_only/companyfacts_quarterly_revenue.csv,27,EXPLICIT_PATH_AND_CONTENT_HASH_FAIL_CLOSED
MGY,SEC_COMPANYFACTS,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0001698990.json,8af3397d6927442ec90e51ec6a4dcd86814a56519b6df19f3f97244989f306cb,2026-05-07T20:03:04+00:00,output/v3_5_1_audit_only/companyfacts_quarterly_revenue.csv,33,EXPLICIT_PATH_AND_CONTENT_HASH_FAIL_CLOSED
MTDR,SEC_COMPANYFACTS,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0001520006.json,f3551dc87b52a3f3be403de72ab2dfc46671b2bb8d03b53111aa851b79627f19,2026-05-08T10:49:10+00:00,output/v3_5_1_audit_only/companyfacts_quarterly_revenue.csv,33,EXPLICIT_PATH_AND_CONTENT_HASH_FAIL_CLOSED
NOG,SEC_COMPANYFACTS,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0001104485.json,36285d5983848572ac49510b58ba1b22236eb29929d120a03ac6928f31ea9f35,2026-06-22T14:41:33+00:00,output/v3_5_1_audit_only/companyfacts_quarterly_revenue.csv,59,EXPLICIT_PATH_AND_CONTENT_HASH_FAIL_CLOSED
OVV,SEC_COMPANYFACTS,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0001792580.json,2ffc36eb1d6a9b5611c69c5f7e856a1b908d95003b49ea965f81a05ddb04bdaa,2026-05-11T21:07:57+00:00,output/v3_5_1_audit_only/companyfacts_quarterly_revenue.csv,25,EXPLICIT_PATH_AND_CONTENT_HASH_FAIL_CLOSED
PR,SEC_COMPANYFACTS,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0001658566.json,a802611b416a4cb198a9d981479609188347f5a76886cf40647d6ee909ad15b9,2026-06-22T14:47:08+00:00,output/v3_5_1_audit_only/companyfacts_quarterly_revenue.csv,33,EXPLICIT_PATH_AND_CONTENT_HASH_FAIL_CLOSED
RRC,SEC_COMPANYFACTS,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0000315852.json,723b1bab68ddd12dd8be4fb821e27e194054f2b8f5098ae3bdb45f64bc6743bf,2026-04-21T20:51:24+00:00,output/v3_5_1_audit_only/companyfacts_quarterly_revenue.csv,28,EXPLICIT_PATH_AND_CONTENT_HASH_FAIL_CLOSED
SM,SEC_COMPANYFACTS,D:\Programming\python_example\Arcana\data-lake\bronze\sec\companyfacts\CIK0000893538.json,21291fc1a073585d902b9abf4faf1a0af9e50dc9bc41b139b1ea81591217d958,2026-05-07T12:56:38+00:00,output/v3_5_1_audit_only/companyfacts_quarterly_revenue.csv,30,EXPLICIT_PATH_AND_CONTENT_HASH_FAIL_CLOSED
